Item Name,Qty,Price (total) (USD),Item link,
XIAO RP2040,1,6.74,https://sharvielectronics.com/product/xiao-rp2040-supports-arduino-micropython-and-circuitpython-seeed-studio/,
Logic buffer,2,2.06,https://www.lioncircuits.com/parts/SN74AHCT125N,
ARGB header,5,0.21,https://sharvielectronics.com/product/4x1-4pin-male-right-angle-berg-header-connector-6mm-2-54mm-pitch/,
Series resistor,10,0.048,https://sharvielectronics.com/product/330-ohm-1-4-watt-resistor-5-tolerance/,
Buffer decoupling capacitor,1,0.05,https://sharvielectronics.com/product/100nf-100v-0-1uf-104-polyester-box-capacitor-5mm-pitch/,
Bulk capacitor,3,0.3,https://sharvielectronics.com/product/1000uf-10v-electrolytic-capacitor-105c-10x16mm-elite/,
Peripheral molex pin,1,0,https://robu.in/product/5-08-aw-5-08mm-4-pin-wafer-male-connector-through-hole-right-angle-molex-compatible/,I will buy this myself as robu needs a minimum order value of 80
Polyfuse,1,0.13,https://sharvielectronics.com/product/rhef100-30v-1a-pptc-resettable-fuse-polyswitch-tyco-raychem/,
M2x15mm Mounting Screws,5,0.2,https://sharvielectronics.com/product/m2x15mm-ch-head-mounting-screw-stainless-steel/,
PCB,5,16.18,lioncircuits.com,
Shipping for 3d printing,1,1,,
Shipping for Lion circuits,,1.06,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
Total Price (USD):,$27.98,,,
